,Entity,Year,Prevalence Substance use disorders_Male (Percent),Prevalence Substance use disorders_Female (Percent),Deaths Substance use disorders (Rate),Deaths Substance use disorders_Age: 70+ years (Number),Deaths Substance use disorders_Age: 50-69 years (Number),Deaths Substance use disorders_Age: 15-49 years (Number),Deaths Substance use disorders_Age: Under 5 (Number),Deaths Substance use disorders_Age: 5-14 years (Number),Deaths Cocaine use disorders (Number),Deaths Opioid use disorders (Number),Deaths Other drug use disorders (Number),Deaths Amphetamine use disorders (Number),Prevalence Substance use disorders (Percent),Prevalence Alcohol use disorders (Percent),Prevalence Drug use disorders (Percent),Deaths Drug use disorders (Number),Deaths Alcohol use disorders (Number),Deaths Cause: All causes_Risk: Tobacco (Number),Deaths Cause: All causes_Risk: Drug use (Number),Deaths Cause: All causes_Risk: Alcohol use (Number),"Prevalence Substance, Alcohol, Drugs use disorders (Percent)"
535,Belarus,2015,5.78440687972057,2.25697276802137,24.238937452798595,863,1484,1008,0,0,8,247,35,8,3.75824151476239,2.92678588353886,0.92736678572163,297,3057,21987,965,10118,2.5374647280076266
536,Belarus,2016,5.73445022629466,2.1833942421817,23.82494687299408,819,1499,994,0,0,7,227,34,6,3.71948459689061,2.8863755856804,0.92691386955979,275,3037,21922,923,9893,2.5109246840436
537,Belarus,2017,5.6719389541206295,2.11161408189325,23.50942615617149,778,1502,991,0,0,6,211,33,6,3.67758877432051,2.84469538132987,0.92489499149728,255,3016,22288,895,9865,2.4823930490492203
538,Belarus,2018,5.58399157007264,2.13204515604443,23.28641329729171,734,1489,1010,0,0,6,201,32,5,3.64937805885577,2.81769263941706,0.92198110351643,244,2989,22086,876,9800,2.4630172672630866
539,Belarus,2019,5.3846602015602905,2.2113517282499098,23.1659570084545,704,1479,1024,0,0,6,194,31,5,3.5955641481661105,2.7612768271354,0.91982027763896,235,2973,22377,862,9807,2.425553750980157
1015,Canada,2015,5.79455040729505,3.40486690085123,7.636857356450458,379,1269,1693,0,2,246,1517,149,110,4.56402126450299,1.94766228765939,2.72705400600191,2022,1321,47657,4381,12397,3.079579186054763
1016,Canada,2016,5.90900069968765,3.4347672961044897,7.9571837519255,397,1296,1800,0,0,270,1610,164,122,4.63603023410158,1.97795208375472,2.7726037801493,2167,1326,48077,4556,12612,3.128862032668533
1017,Canada,2017,6.00739574707692,3.43874704467202,8.285538596243498,421,1321,1904,0,0,293,1711,175,133,4.6871412660217,2.00813090977981,2.7989949649769,2311,1335,48621,4725,12831,3.1647557135928035
1018,Canada,2018,5.97506370384253,3.40216802606672,8.479863748092676,452,1354,1955,0,0,308,1785,181,139,4.653625813036999,2.00005689973278,2.77236139951509,2413,1349,50623,4903,13302,3.142014704094956
1019,Canada,2019,5.88151686522167,3.34062859565116,8.728142593026288,478,1378,2031,0,0,325,1867,189,146,4.577435736095159,1.96935360103977,2.72200185535202,2526,1361,51691,5062,13622,3.0895970641623163
1525,Denmark,2015,6.22644777687878,2.23471146907081,11.767989087222016,188,559,240,0,0,8,143,31,11,4.171821196352791,3.13019174977142,1.14838313391887,192,794,12882,447,3344,2.816798693347694
1526,Denmark,2016,6.204305933168721,2.2262145179493,11.819239440001914,196,559,242,0,0,8,144,31,11,4.15876270853973,3.11602693904947,1.14864324770359,195,803,12918,450,3373,2.807810965097597
1527,Denmark,2017,6.182449274990829,2.21889917784081,11.793977732542752,205,556,241,0,0,8,144,32,11,4.14612909667617,3.10223968173508,1.14834971624541,195,807,12962,453,3407,2.7989061648855533
1528,Denmark,2018,6.11621140324989,2.20958376810308,11.794313436824316,212,553,243,0,0,8,145,32,11,4.11264019129976,3.08139679611056,1.13383873053924,196,812,13048,456,3456,2.7759585726498535
1529,Denmark,2019,5.9794490272461305,2.19103850082246,11.816941191369708,217,552,246,0,0,8,146,32,12,4.04206394996953,3.04168206581098,1.10180098815735,198,817,13122,458,3524,2.7285156679792872
1765,El Salvador,2015,7.52216603376568,1.28672068072271,15.17987865927017,86,304,452,0,0,3,4,3,0,4.01713340945171,3.77849153165349,0.38368796131631,10,832,1876,101,2515,2.726437634140503
1766,El Salvador,2016,7.29901031368301,1.29784889628668,15.148897582482366,89,315,449,0,0,3,4,3,0,3.92513254370737,3.67459889674826,0.38711892062935,10,843,1912,104,2201,2.662283453694993
1767,El Salvador,2017,7.104241334914339,1.30959862786404,15.053364321004944,91,320,451,0,0,3,4,3,0,3.8467264243338697,3.5853928989403,0.38961588666756,11,852,1950,106,2236,2.6072450699805767
1768,El Salvador,2018,7.17254119566044,1.30579405363388,14.931924101486356,93,322,455,0,0,3,4,3,0,3.87555300430106,3.6190609539953,0.3857279728912799,11,860,1980,108,2268,2.626780643729213
1769,El Salvador,2019,7.39015823505912,1.28892131405921,14.94947285548186,98,338,450,0,0,3,4,3,1,3.9631264209288495,3.72937422915241,0.37331201939264,11,874,2041,110,2306,2.6886042231579665
1885,Estonia,2015,5.37876849067404,2.1542496701982503,19.939232280281995,15,130,172,0,0,3,90,10,6,3.6632244064047104,2.02369971584013,1.71417531606128,109,208,2304,206,1261,2.46703314610204
1886,Estonia,2016,5.38892280644319,2.08240154689846,20.26414668265361,15,130,176,0,0,3,96,10,6,3.64149696148764,2.01140597609903,1.70458411512254,115,206,2342,215,1260,2.4524956842364034
1887,Estonia,2017,5.36299239356881,2.0069212937863,21.24752646049464,15,130,188,0,0,4,101,11,7,3.60313930589539,1.98848878480824,1.69112552550096,122,211,2338,219,1228,2.427584538734863
1888,Estonia,2018,5.24596638480119,2.01129904556114,21.655040547507845,15,131,192,0,0,4,103,11,8,3.55562079463112,1.94119940649248,1.68778544262974,125,213,2341,221,1211,2.39486854791778
1889,Estonia,2019,5.04004086687742,2.05571526977268,22.116463510077928,16,130,196,0,0,4,105,11,8,3.4826645815504502,1.85948813599898,1.69092321006624,128,214,2335,223,1194,2.3443586425385567
2065,Finland,2015,4.62990652255999,2.31197674687147,11.162210535124872,118,432,285,0,0,11,198,40,15,3.45758962319856,2.40464854548377,1.13874396649723,264,571,6667,607,2724,2.33366071172652
2066,Finland,2016,4.66084952614033,2.33606714781157,11.013131743869897,120,418,284,0,0,11,201,41,15,3.48529314794176,2.40269097000602,1.16811051190036,268,554,6780,617,2676,2.3520315432827137
2067,Finland,2017,4.69965910703058,2.3523647043151,11.290865740858534,128,420,293,0,0,11,209,42,16,3.5126543296785897,2.40822216027057,1.19293019328096,278,564,6901,626,2659,2.37126889441004
2068,Finland,2018,4.75805533639339,2.3173277240242,11.444665687943624,133,415,301,0,0,12,214,43,16,3.52480587242877,2.4369720020434498,1.17656082532372,285,564,6965,633,2633,2.379446233265313
2069,Finland,2019,4.85822599474051,2.2338809306421603,11.57419791669054,138,410,308,0,0,12,219,44,17,3.53399587815852,2.4937062113237403,1.13018992145296,291,565,7047,638,2634,2.3859640036450736
2335,Greenland,2015,6.66609609075341,4.38723579973532,15.808437649754364,1,6,5,0,0,0,1,0,0,5.56107214207073,3.9421496952997903,1.80308856141702,2,9,127,7,39,3.76877013292918
2336,Greenland,2016,6.68393022186538,4.41669788283116,15.817107177392886,1,6,5,0,0,0,1,0,0,5.58531562906607,3.9365210551277694,1.83500918102673,2,9,129,7,39,3.785615288406857
2337,Greenland,2017,6.7095211941803,4.4411828246584895,15.83884449956499,1,6,4,0,0,0,1,0,0,5.60936076092164,3.93022026754774,1.86587098715782,2,9,130,7,39,3.8018173385423997
2338,Greenland,2018,6.643729577688299,4.39426042309479,15.875836266285535,1,6,4,0,0,0,1,0,0,5.55252957249483,3.89498533810677,1.83985087006192,2,9,132,7,40,3.762455260221173
2339,Greenland,2019,6.50994073412488,4.28530711163517,15.92517614203752,1,6,4,0,0,0,1,0,0,5.432340937121681,3.83434920570865,1.7733192255508698,2,9,133,7,40,3.6800031227937335
2425,Guatemala,2015,6.73474828770021,1.5231238307894,13.902996773753042,129,507,1052,0,2,99,43,34,12,3.9040052657793,3.60759224657366,0.42070374345713,188,1502,4335,421,5102,2.6441004186033634
2426,Guatemala,2016,6.518926462890989,1.5254188656829502,13.646333808740415,132,506,1084,1,2,108,47,37,13,3.8109269428838,3.5139535175691803,0.41129171056811,205,1521,4453,451,5239,2.57872405700703
2427,Guatemala,2017,6.30144145504577,1.5250541790435,13.734731712058048,136,514,1158,0,2,113,48,38,14,3.71570389975222,3.42213195899264,0.4018986913192099,213,1596,4507,466,5395,2.5132448500213567
2428,Guatemala,2018,6.25878420896096,1.51620578533563,13.864759421181486,142,536,1211,0,0,111,46,40,14,3.694561667994551,3.40606220013119,0.39681757660873,211,1679,4616,473,5635,2.4991471482448238
2429,Guatemala,2019,6.2331890398511804,1.49334230160244,14.051337744763114,148,555,1284,0,0,113,47,43,15,3.67415328564406,3.39960653528075,0.38360308472717,218,1769,4734,492,5890,2.4857876352173265
2965,Kazakhstan,2015,6.860659285794441,2.11583342741748,11.95458896924089,119,813,1251,0,0,55,421,75,34,4.297375302742959,3.61922204366589,0.8139425184068201,585,1599,22639,2460,9436,2.9101799549385565
2966,Kazakhstan,2016,6.981371547045071,2.06451982832261,11.793866200097233,119,827,1246,0,0,57,428,74,34,4.33034488091277,3.65856820348936,0.8100101602256,592,1599,22768,2425,9303,2.93297441487591
2967,Kazakhstan,2017,7.1269431099425695,2.02380451724534,11.160028414091116,120,797,1190,0,0,56,422,71,32,4.382321480322051,3.71881452209796,0.80740619456617,581,1525,22890,2389,9171,2.9695140656620604
2968,Kazakhstan,2018,7.153066251442711,2.03477050222217,11.868102173309468,126,845,1315,0,0,65,479,79,37,4.404282829228389,3.74035775507396,0.8075444206920799,660,1626,23180,2466,9372,2.9840616683314765
2969,Kazakhstan,2019,7.12223192939759,2.07289565130755,12.472541133612788,130,868,1452,0,0,74,541,90,44,4.412243601662761,3.7464905683424696,0.8088993154260199,749,1701,22901,2552,9586,2.9892111618104167
3175,Latvia,2015,5.30281610583814,2.20336168149318,12.50249861682683,30,174,132,0,0,1,35,4,2,3.57270540878295,2.39919465810694,1.2543995413525,42,294,4354,226,1718,2.408766536080797
3176,Latvia,2016,5.26631615092821,2.15891768086329,12.459431613575408,29,171,132,0,0,1,36,4,2,3.54850383254728,2.36556737986812,1.2629354432065,44,288,4116,215,1606,2.3923355518739666
3177,Latvia,2017,5.21817306648771,2.11551854906904,12.693572383781978,28,171,134,0,0,2,39,4,2,3.52059430778175,2.3245853905570697,1.27445721544624,46,287,4078,214,1596,2.37321230459502
3178,Latvia,2018,5.19587952144205,2.10340744946046,12.884566836353851,28,171,136,0,0,2,40,5,2,3.5102879975445105,2.31022618011431,1.27818780636819,48,286,4082,212,1604,2.36623399467567
3179,Latvia,2019,5.15902954897427,2.09485435786274,13.08766648291362,28,170,137,0,0,2,42,5,2,3.49333540647464,2.29797471710341,1.27284720888129,51,285,4077,211,1614,2.35471911081978
3325,Lithuania,2015,4.680917600493039,1.79097202736398,12.668285894121952,31,193,236,0,0,3,102,13,6,3.08808509105291,2.30028365424527,0.8542501488172399,124,336,6030,312,2748,2.08087296470514
3326,Lithuania,2016,4.7239069741492,1.73623893861075,12.702195336211435,32,189,234,0,0,4,110,13,6,3.08935552655021,2.2896928316888903,0.86605995298971,133,322,6014,325,2670,2.081702770409603
3327,Lithuania,2017,4.7277773518418105,1.6832033211774,12.4747944977878,31,182,228,0,0,4,111,13,6,3.07488568414469,2.2707020112058203,0.87208277396523,133,308,5503,302,2387,2.0725568231052467
3328,Lithuania,2018,4.63161212142061,1.70264720885446,13.286726835203734,32,189,242,0,0,4,124,14,7,3.04447392099513,2.2409590286287697,0.86881316516402,149,314,5497,314,2351,2.051415371595973
3329,Lithuania,2019,4.42619371080002,1.7747928713992798,14.262987583740774,33,193,260,0,0,5,140,16,8,2.98703654979297,2.1892618863545,0.85942347875833,169,317,5384,331,2310,2.0119073049686
3745,Moldova,2015,4.103392548995919,1.65099050111039,10.08423651234082,31,295,190,0,0,1,23,4,1,2.74255147263062,2.11934758213206,0.67902237206773,29,487,7402,578,4317,1.8469738089434704
3746,Moldova,2016,4.08719239608907,1.59155159562947,9.491569370250438,29,279,180,0,0,1,22,3,1,2.71344317527344,2.08535820604936,0.68349042899847,27,461,7137,541,4170,1.8274306034404233
3747,Moldova,2017,4.0630803489967695,1.53459791452797,9.023669952403496,28,266,172,0,0,1,20,3,1,2.68330995437732,2.04821775032711,0.68897804958498,25,440,6619,494,3819,1.8068352514298034
3748,Moldova,2018,4.0073861583781305,1.55334762757071,9.01407239274188,27,264,175,0,0,1,21,3,1,2.66823731454343,2.03493593601614,0.68701391442646,27,440,6567,483,3792,1.7967290549953434
3749,Moldova,2019,3.90141667290899,1.6241465237312298,9.032224941018098,28,259,180,0,0,1,22,4,1,2.65329344544423,2.02200560138154,0.68384102276741,28,439,6485,473,3800,1.786380023197727
3805,Mongolia,2015,7.335603721001919,1.99835730699221,17.056496690847194,5,149,407,0,0,2,13,2,1,4.54277656189728,4.07922389019109,0.6158003725900499,17,543,3431,350,2919,3.079266941559473
3806,Mongolia,2016,7.473060337929641,1.95595088878753,16.855941659405257,5,154,413,0,0,2,13,2,1,4.5843535905545805,4.12170278270358,0.61867744034613,18,554,3631,367,3037,3.108244604534763
3807,Mongolia,2017,7.659395298343321,1.9155660539389296,16.641883284590786,5,159,417,0,0,2,13,2,1,4.65025227766771,4.19531071832547,0.61996623261916,19,563,3799,381,3133,3.1551764095374466
3808,Mongolia,2018,7.829659114763519,1.93829967845407,16.493157205539262,6,163,423,0,0,2,14,2,1,4.74368163793944,4.29273774607721,0.6216237256982899,19,573,3970,397,3230,3.2193477032383133
3809,Mongolia,2019,8.03973192752305,2.00158819177395,16.39941995346234,6,167,431,0,0,2,14,2,1,4.87803297191357,4.43633887706863,0.62356023508426,20,584,4182,415,3340,3.3126440280221536
4225,North America (WB),2015,6.84412031116679,4.55189963280532,16.508757989972622,2956,21930,41543,1,8,5763,38081,4280,2985,5.67509667003985,2.4606764630523004,3.38238417838277,51109,15328,558148,89911,140499,3.8393857704916403
4226,North America (WB),2016,6.88474771139697,4.67333771575786,18.41293088924301,3148,23558,47158,1,6,6634,43060,4934,3568,5.75632122356761,2.44795833271199,3.47739713474252,58196,15675,565334,98475,145140,3.893892230340706
4227,North America (WB),2017,6.92418415819886,4.75869650356832,19.550353321210075,3408,24142,50785,0,0,7481,45908,5403,4037,5.81887728642229,2.43612429531305,3.55276902814875,62830,15506,569499,103348,145947,3.93592353662803
4228,North America (WB),2018,6.97517802685696,4.76398821197474,20.036723171752417,3743,25027,52026,0,0,8074,47265,5622,4325,5.84703674504735,2.43310878999136,3.5839655291961003,65285,15512,587676,106376,148614,3.9547036880782698
4229,North America (WB),2019,7.04541347084235,4.73828298541311,20.689937059287992,4025,25649,53975,0,0,8648,49204,5809,4583,5.86933250027117,2.43777072380332,3.60191182847868,68243,15406,601343,109800,150307,3.9696716841843904
4705,Poland,2015,5.42258805863741,2.98138868295188,8.709183619462044,221,2590,1798,0,0,8,119,40,12,4.1641044771636,3.3445307028708204,0.91243805684004,179,4430,80462,1792,26170,2.807024412291487
4706,Poland,2016,5.35422032144053,2.9370291390049803,8.730498060275893,232,2612,1808,0,0,8,122,40,12,4.10605190905638,3.2909401424492097,0.90470512969261,182,4469,80122,1790,26113,2.7672323937327334
4707,Poland,2017,5.26739763569609,2.89308331110563,8.669542531515473,238,2536,1844,0,0,9,129,41,13,4.04004200763241,3.2290870326487697,0.8973886061465,192,4425,81034,1800,26119,2.7221725488092265
4708,Poland,2018,5.2317670790143005,2.9092654534876297,8.651734694755167,250,2463,1892,0,0,9,136,44,14,4.03329875772423,3.2356228551754103,0.8839523219480301,202,4402,82027,1815,26205,2.7176246449492236
4709,Poland,2019,5.17523331646039,2.96236052310699,8.625197872049112,263,2398,1931,0,0,10,142,45,14,4.0373891365256505,3.2702907442178795,0.8539019272459301,211,4380,82833,1826,26320,2.72052726932982
4825,Region of the Americas (WHO),2015,5.2927435342513,2.63374997714424,8.314189489235119,5621,30882,52685,4,19,7125,38652,4829,3108,3.91562545799226,2.3502063864902,1.67092967068252,53714,35496,978245,108153,341589,2.64558717172166
